"key","message","comment","context"
"Priority",,,"resources\domains\Meta.xml:129
resources\domains\Meta.xml:150
resources\domains\Meta.xml:177
resources\domains\Meta.xml:33
resources\domains\Meta.xml:89
resources\domains\Team.xml:22"
"Purple",,,"resources\views\Meta.xml:54"
"Read",,,"resources\domains\MetaPermission.xml:19
resources\domains\Permission.xml:15"
"Readonly",,,"resources\domains\MetaJson.xml:35"
"Readonly if",,,"resources\domains\MetaJson.xml:24
resources\domains\MetaPermission.xml:22"
"Recipients",,,"resources\domains\Mail.xml:30"
"Record created",,,"java\com\axelor\auth\AuditTracker.java:331"
"Record updated",,,"java\com\axelor\auth\AuditTracker.java:331"
"Record was updated or deleted by another transaction",,,"java\com\axelor\rpc\ResponseInterceptor.java:165"
"Red",,,"resources\views\Meta.xml:52"
"Reference error",,,"java\com\axelor\rpc\ResponseInterceptor.java:245"
"Regex",,,"resources\domains\MetaJson.xml:46"
"Related",,,"resources\domains\DMS.xml:14
resources\domains\Mail.xml:66
resources\domains\Team.xml:29"
"Related document id",,,"resources\domains\Mail.xml:38"
"Related document model",,,"resources\domains\Mail.xml:39"
"Related document name",,,"resources\domains\Mail.xml:40"
"Related model",,,"resources\domains\Mail.xml:67
resources\domains\Team.xml:27"
"Related name",,,"resources\domains\Team.xml:28"
"Related object",,,"resources\domains\DMS.xml:15"
"Relationship",,,"resources\domains\Meta.xml:223"
"Removable",,,"resources\domains\Meta.xml:20"
"Remove",,,"resources\domains\Permission.xml:18"
"Replies",,,"resources\domains\Mail.xml:44"
"Required",,,"resources\domains\MetaJson.xml:34"
"Required if",,,"resources\domains\MetaJson.xml:23"
"Restart jobs",,,"resources\views\Schedules.xml:8"
"Restart the server for updates to take effect.",,,"java\com\axelor\meta\web\ModuleController.java:40"
"Restore all…",,,"resources\views\Meta.xml:119"
"Role",,,"resources\views\Role.xml:10"
"Roles",,,"resources\domains\Group.xml:21
resources\domains\Meta.xml:113
resources\domains\Meta.xml:257
resources\domains\MetaJson.xml:61
resources\domains\MetaJson.xml:84
resources\domains\User.xml:32
resources\views\Menu.xml:32
resources\views\Menu.xml:35
resources\views\Role.xml:6"
"Root",,,"resources\domains\Mail.xml:42"
"Rule",,,"resources\views\MetaPermission.xml:25"
"Rules",,,"resources\domains\MetaPermission.xml:13"
"SQL error",,,"java\com\axelor\rpc\ResponseInterceptor.java:255"
"Scale",,,"resources\domains\MetaJson.xml:42"
"Schedule",,,"resources\domains\MetaSchedule.xml:12
resources\views\Schedules.xml:17"
"Schedules",,,"resources\views\Schedules.xml:6"
"Schema",,,"resources\views\Meta.xml:165
resources\views\Meta.xml:188
resources\views\Meta.xml:211"
"Search",,,"resources\views\Meta.xml:17"
"Select",,,"resources\domains\Meta.xml:198"
"Select Item",,,"resources\views\Meta.xml:336"
"Selection",,,"resources\domains\MetaJson.xml:18"
"Selects",,,"resources\views\Menu.xml:106"
"Separator",,,"resources\views\MetaJson.xml:19"
"Sequence",,,"resources\domains\MetaJson.xml:43
resources\domains\Team.xml:23"
"Sequence order",,,"resources\views\Meta.xml:344"
"Server expression to check whether to use this field.",,,"resources\views\MetaJson.xml:92"
"Shared",,,"resources\domains\Meta.xml:77
resources\domains\MetaFilter.xml:20"
"Shared with me",,,"resources\views\DMS.xml:157"
"Show Model",,,"resources\views\Meta.xml:400"
"Show if",,,"resources\domains\MetaJson.xml:21"
"Show in top menu",,,"resources\views\MetaJson.xml:168"
"Show permissions",,,"resources\views\Group.xml:20"
"Single tab",,,"resources\domains\User.xml:24"
"Size",,,"resources\domains\Meta.xml:269
resources\views\DMS.xml:13"
"Size in bytes",,,"resources\domains\Meta.xml:266"
"Spacer",,,"resources\views\MetaJson.xml:18"
"Specify whether the members of this group are technical staff.",,,"resources\domains\Group.xml:18"
"Specify whether this action can be used as home action.",,,"resources\domains\Meta.xml:154"
"Status",,,"resources\domains\Team.xml:21"
